microsoft.com, 40.113.200.201
daum.net, 211.231.99.17
yandex.ru, 77.88.55.80
taobao.com, 140.205.94.189
bing.com, 204.79.197.200
ifeng.com, 123.103.122.24
yahoo.com, 74.6.143.25
go.com, 23.236.60.174
live.com, 204.79.197.212
soso.com, 118.191.216.57
hotmail.com, 204.79.197.212
4399.com, 129.211.129.109
alibaba.com, 205.204.101.142
msn.com, 13.82.28.61
youku.com, 106.11.43.107
twitter.com, 104.244.42.65
orkut.com, 216.239.34.21
blogspot.com, 216.58.194.201
tudou.com, 106.11.43.71
yahoo.co.jp, 182.22.59.229
qq.com, 125.39.52.26
4shared.com, 204.155.146.95
skype.com, 40.121.80.200
naver.com, 125.209.222.142
windows.com, 40.112.72.205
56.com, 183.232.65.145
ebay.com, 66.135.195.175
tmall.com, 140.205.130.99
cnet.com, 35.190.79.82
sogou.com, 119.28.109.132
orkut.com.br, 132.148.40.250
ku6.com, 117.50.1.222
wikipedia.org, 198.35.26.96
craigslist.org, 208.82.237.129
aol.com, 124.108.115.100
rapidshare.com, 0.0.0.0
mozilla.com, 44.236.72.93
blogger.com, 172.217.164.105
wordpress.com, 192.0.78.9
andysayler.com, 159.89.253.85
dnslookup error, sdjjdsaf.com
mywebsearch.com, 34.102.244.163
alipay.com, 110.75.139.5
hao123.com, 202.106.2.86
vkontakte.ru, 87.240.190.67
baidu.com, 220.181.38.148
qiyi.com, 111.206.13.63
hp.com, 15.72.164.74
mediafire.com, 104.16.203.237
nifty.com, 222.158.213.148
ebay.de, 66.135.195.175
youdao.com, 103.72.47.248
walmart.com, 161.170.232.170
rakuten.co.jp, 133.237.16.234
imdb.com, 52.94.225.248
dailymotion.com, 195.8.215.136
360.cn, 36.99.170.84
soku.com, 106.11.47.19
about.com, 151.101.2.137
answers.com, 151.101.192.203
apple.com, 17.253.144.10
imageshack.us, 208.94.3.19
wmfo.org, 23.92.21.128
pconline.com.cn, 219.136.244.85
hotfile.com, 18.207.9.28
paipai.com, 106.39.169.133
pps.tv, 116.211.199.232
163.com, 123.58.180.7
xunlei.com, 39.104.2.218
paypal.com, 64.4.250.36
livedoor.jp, 203.104.153.16
seesaa.net, 59.106.98.142
photobucket.com, 143.204.202.6
kugou.com, 183.131.48.92
softonic.com, 35.227.233.104
renren.com, 120.133.2.241
2345.com, 58.211.78.133
tianya.cn, 124.225.65.154
facebook.com, 69.171.250.35
myspace.com, 63.135.90.70
mail.ru, 94.100.180.201
youtube.com, 172.217.6.46
linkedin.com, 13.107.42.14
amazon.co.jp, 52.119.168.48
sohu.com, 211.159.191.18
amazon.com, 176.32.103.205
cnn.com, 151.101.193.67
odnoklassniki.ru, 5.61.23.11
bbc.co.uk, 151.101.0.81
ask.com, 151.101.42.114
weather.com, 104.86.5.239
ehow.com, 23.65.41.18
ameblo.jp, 151.101.65.83
flickr.com, 13.227.78.140
partypoker.com, 195.72.135.91
zynga.com, 143.204.131.120
fc2.com, 199.48.210.152
adobe.com, 192.147.130.204
7k7k.com, 157.185.145.127
jp.msn.com, 13.88.15.24
goo.ne.jp, 114.179.184.93
sina.com.cn, 123.126.55.41
